,id,text,label,word_count,char_count,avg_word_length,punctuation_density
0,1,It always seems impossible until it's done.,human,7,43,5.285714286,0.142857143
1,2,She finished the challenging crossword puzzle.,ai,6,46,6.833333333,0.166666667
2,3,"You can't use up creativity. The more you use, the more you have.",human,13,65,4.076923077,0.307692308
3,4,The journey of a thousand miles begins with a single step.,human,11,58,4.363636364,0.090909091
4,5,"Life is short, and it is up to you to make it sweet.",human,13,52,3.076923077,0.153846154
5,6,In three words I can sum up everything I’ve learned about life: it goes on.,human,15,75,4.066666667,0.133333333
6,7,I love the smell of napalm in the morning.,human,9,42,3.777777778,0.111111111
7,8,"It's not what happens to you, but how you react to it that matters.",human,14,67,3.857142857,0.214285714
8,9,The lamp flickered for a moment before stabilizing.,ai,8,51,5.5,0.125
9,10,Happiness is not something ready made. It comes from your own actions.,human,12,70,4.916666667,0.166666667
10,11,The purpose of our lives is to be happy.,human,9,40,3.555555556,0.111111111
11,12,"Love all, trust a few, do wrong to none.",human,9,40,3.555555556,0.333333333
12,13,I carefully arranged the books on the shelf by size.,ai,10,52,4.3,0.1
13,14,You miss 100% of the shots you don't take.,human,9,42,3.777777778,0.333333333
14,15,A neural interface allowed a user to control a robotic prosthetic with their thoughts.,ai,14,86,5.214285714,0.071428571
15,16,The secret of getting ahead is getting started.,human,8,47,5.0,0.125
16,17,The power of imagination makes us infinite.,human,7,43,5.285714286,0.142857143
17,18,Sometimes you have to create your own sunshine.,human,8,47,5.0,0.125
18,19,The biggest adventure you can take is to live the life of your dreams.,human,14,70,4.071428571,0.071428571
19,20,The automated system managed a complex network of smart devices.,ai,10,64,5.5,0.1
20,21,He typed a quick message and hit send.,ai,8,38,3.875,0.125
21,22,"Happiness is not by chance, but by choice.",human,8,42,4.375,0.25
22,23,Be yourself; everyone else is already taken.,human,7,44,5.428571429,0.285714286
23,24,"If you don't stop that, I'm going to lose my mind.",human,11,50,3.636363636,0.363636364
24,25,The first rule of Fight Club is: you do not talk about Fight Club.,human,14,66,3.785714286,0.142857143
25,26,He wrote a detailed report on the financial markets.,ai,9,52,4.888888889,0.111111111
26,27,"Don't go through life, grow through life.",human,7,41,5.0,0.428571429
27,28,The thermostat learned their daily patterns.,ai,6,44,6.5,0.166666667
28,29,That’s another fine mess you’ve gotten me into!,human,8,47,5.0,0.125
29,30,Keep calm and carry on.,human,5,23,3.8,0.2
30,31,"Strive not to be a success, but rather to be of value.",human,12,54,3.583333333,0.166666667
31,32,I can't go back to yesterday because I was a different person then.,human,13,67,4.230769231,0.153846154
32,33,A chatbot handled most of the customer service inquiries.,ai,9,57,5.444444444,0.111111111
33,34,"The past can hurt. But the way I see it, you can either run from it or learn from it.",human,20,85,3.3,0.15
34,35,"Do what you can, with what you have, where you are.",human,11,51,3.727272727,0.272727273
35,36,The baker kneaded dough early in the pre-dawn darkness.,ai,9,55,5.222222222,0.222222222
36,37,It is better to light a candle than curse the darkness.,human,11,55,4.090909091,0.090909091
37,38,The robotic exoskeleton assisted the user with heavy lifting.,ai,9,61,5.888888889,0.111111111
38,39,The magician made a coin disappear from his hand.,ai,9,49,4.555555556,0.111111111
39,40,"He carried an umbrella, though the forecast promised sunshine.",ai,9,62,6.0,0.222222222
40,41,The voice assistant booked a flight and a hotel room for the user.,ai,13,66,4.153846154,0.076923077
41,42,The intelligent agent completed the online form automatically.,ai,8,62,6.875,0.125
42,43,The augmented reality app overlaid digital information on the real world.,ai,11,73,5.727272727,0.090909091
43,44,The best revenge is massive success.,human,6,36,5.166666667,0.166666667
44,45,I'd rather be a failure at something I love than a success at something I hate.,human,16,79,4.0,0.125
